step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy
1,12616,8,0.02982672707814987,0.0,0.2222222222222222,0.029253022059561217,0.0,0.3548387096774194
2,21328,16,0.04138949567645771,0.0,0.3333333333333333,,,
3,31512,24,0.031726505034652706,0.0,0.4857142857142857,,,
4,43744,32,0.026588661189210754,0.0,0.42424242424242425,,,
5,53416,40,0.02730662964152444,0.0,0.41379310344827586,,,
6,67184,48,0.02218574339709567,0.0,0.5555555555555556,,,
7,82360,56,0.02048483770470968,0.0,0.47368421052631576,,,
8,92032,64,0.02698222274294679,0.0,0.41379310344827586,,,
9,103496,72,0.024413227177665676,0.0,0.4857142857142857,0.017421425144490448,0.0,0.5625
10,113744,80,0.027059160879653255,0.0,0.5,,,
11,125464,88,0.02121891455059143,0.0,0.4827586206896552,,,
12,137056,96,0.02064437491552084,0.0,0.47058823529411764,,,
13,148776,104,0.020205966880378807,0.0,0.5,,,
14,160304,112,0.022495331676961584,0.0,0.41935483870967744,,,
15,172920,120,0.022201173255588215,0.125,0.5277777777777778,,,
16,184320,128,0.023700574772234143,0.0,0.3939393939393939,,,
17,195336,136,0.02356427667334767,0.125,0.5172413793103449,0.025384822534526723,0.0,0.575
18,209104,144,0.019594959792862247,0.0,0.5294117647058824,,,
19,220760,152,0.02121062863332782,0.125,0.5882352941176471,,,
20,234400,160,0.018270734560623364,0.0,0.45161290322580644,,,
21,246312,168,0.02083886366550549,0.0,0.35714285714285715,,,
22,262384,176,0.018713790717436205,0.125,0.5,,,
23,273528,184,0.022183504869378343,0.0,0.53125,,,
24,286336,192,0.01796219431460184,0.0,0.5277777777777778,,,
25,298056,200,0.02159470477513225,0.0,0.45161290322580644,0.022617080855205193,0.0,0.4
26,309328,208,0.021064784577333056,0.125,0.4838709677419355,,,
27,320792,216,0.021269228686709947,0.0,0.47058823529411764,,,
28,331808,224,0.022482822131261952,0.0,0.3939393939393939,,,
29,345320,232,0.020375301616712232,0.0,0.6285714285714286,,,
30,356336,240,0.023918215596686155,0.0,0.3939393939393939,,,
31,365944,248,0.02328239700995913,0.0,0.5142857142857142,,,
32,377792,256,0.019084944459557905,0.0,0.48484848484848486,,,
33,388808,264,0.020139728300626988,0.0,0.5,0.02353353225022244,0.0,0.5483870967741935
34,401552,272,0.019670908658352908,0.0,0.48484848484848486,,,
35,412376,280,0.0246024586704634,0.0,0.4857142857142857,,,
36,424288,288,0.021540004700217302,0.0,0.41379310344827586,,,
37,436392,296,0.02404190260870724,0.0,0.5428571428571428,,,
38,447408,304,0.017631549973809255,0.0,0.6176470588235294,,,
39,458616,312,0.02218601505638285,0.125,0.6388888888888888,,,
40,468672,320,0.021538770990247466,0.0,0.5151515151515151,,,
41,477704,328,0.027527579751655432,0.0,0.4117647058823529,0.020754676830236803,0.0,0.5625
42,489552,336,0.02333662264370802,0.0,0.38235294117647056,,,
43,502040,344,0.020596207907984315,0.0,0.5555555555555556,,,
44,514336,352,0.019156265681104668,0.0,0.5833333333333334,,,
45,525480,360,0.023482872398703534,0.0,0.4117647058823529,,,
46,535536,368,0.026894181810868608,0.0,0.43243243243243246,,,
47,547064,376,0.021391483782274526,0.0,0.5555555555555556,,,
48,562304,384,0.018114816575680003,0.0,0.4230769230769231,,,
49,572936,392,0.023574697731223553,0.0,0.47058823529411764,0.020512844250425225,0.0,0.375
50,582992,400,0.02274155642602675,0.0,0.41935483870967744,,,
51,594648,408,0.02416432128529469,0.0,0.42857142857142855,,,
52,603296,416,0.024931014255512585,0.0,0.5517241379310345,,,
53,613928,424,0.023212821663474593,0.0,0.5,,,
54,628656,432,0.014265316084391973,0.0,0.5454545454545454,,,
55,641144,440,0.01663190607016489,0.125,0.5,,,
56,651008,448,0.02065966103887142,0.0,0.4642857142857143,,,
57,661384,456,0.02220654683899487,0.0,0.42424242424242425,0.02021075693019145,0.0,0.47058823529411764
58,671056,464,0.022705244770518926,0.0,0.35714285714285715,,,
59,682072,472,0.025540108824013127,0.0,0.45161290322580644,,,
60,692960,480,0.023182786731019176,0.0,0.30303030303030304,,,
61,708200,488,0.01650053955219974,0.0,0.37037037037037035,,,
62,721008,496,0.019009294500321787,0.0,0.4074074074074074,,,
63,732664,504,0.022046449716625303,0.0,0.5833333333333334,,,
64,744128,512,0.021113584632743133,0.0,0.46875,,,
65,759304,520,0.017441355299998296,0.0,0.4230769230769231,0.01980319340675258,0.0,0.4722222222222222
66,772688,528,0.015606120804579937,0.0,0.6060606060606061,,,
67,783896,536,0.022934125083708005,0.0,0.5294117647058824,,,
68,794080,544,0.024009841141666353,0.0,0.4594594594594595,,,
69,804520,552,0.02296443620238119,0.0,0.45454545454545453,,,
70,815664,560,0.019814349470343856,0.0,0.5151515151515151,,,
71,827640,568,0.02374234846453832,0.0,0.41935483870967744,,,
72,840960,576,0.015072139520558213,0.0,0.6071428571428571,,,
73,854984,584,0.01992652936846377,0.0,0.45161290322580644,0.017049632805996025,0.0,0.4838709677419355
74,865680,592,0.022450875475170884,0.0,0.5,,,
75,876824,600,0.022490908649428397,0.0,0.4838709677419355,,,
76,891936,608,0.01638577333239094,0.0,0.5161290322580645,,,
77,906728,616,0.0143252884985056,0.0,0.5151515151515151,,,
78,917680,624,0.018158712075885288,0.0,0.5483870967741935,,,
79,928632,632,0.02084093826518091,0.0,0.6153846153846154,,,
80,938560,640,0.02504092836778968,0.125,0.5806451612903226,,,
81,952392,648,0.01892589977475203,0.0,0.5454545454545454,0.020764765156785533,0.0,0.47058823529411764
82,961488,656,0.025131797006339527,0.0,0.4444444444444444,,,
83,975192,664,0.016346562360709426,0.0,0.5172413793103449,,,
84,985568,672,0.023147613636074472,0.0,0.42424242424242425,,,
85,999208,680,0.018803163613311843,0.0,0.5,,,
86,1012016,688,0.020094010973140695,0.125,0.6206896551724138,,,
87,1022904,696,0.021346138348088736,0.0,0.5,,,
88,1032384,704,0.024293600215600997,0.0,0.5277777777777778,,,
89,1042312,712,0.025053298679109208,0.0,0.46875,0.019279075449590875,0.0,0.5
90,1055248,720,0.01677272346296632,0.0,0.5945945945945946,,,
91,1067096,728,0.018061490311194806,0.0,0.5625,,,
92,1078816,736,0.019334918349587542,0.0,0.5357142857142857,,,
93,1091624,744,0.018641449538967982,0.0,0.5142857142857142,,,
94,1104688,752,0.01891980242006486,0.0,0.37037037037037035,,,
95,1118392,760,0.018252527994341697,0.0,0.4857142857142857,,,
96,1129600,768,0.02067818316315309,0.0,0.45714285714285713,,,
97,1142600,776,0.01878988346855729,0.0,0.5588235294117647,0.02086207147767198,0.0,0.4642857142857143
98,1158608,784,0.014045297746434683,0.0,0.5333333333333333,,,
99,1170712,792,0.01844811393454271,0.0,0.5588235294117647,,,
100,1181664,800,0.0225958589712852,0.0,0.5,,,
101,1192488,808,0.023480680609677125,0.0,0.5151515151515151,,,
102,1204912,816,0.020743153631994533,0.0,0.5882352941176471,,,
103,1219064,824,0.015624205282500489,0.0,0.5588235294117647,,,
104,1232768,832,0.018958171596791803,0.0,0.5714285714285714,,,
105,1245896,840,0.017565156282914995,0.0,0.5833333333333334,0.018981924725019063,0.0,0.5151515151515151
106,1257424,848,0.020464202268142773,0.0,0.45714285714285713,,,
107,1268632,856,0.022486461806752713,0.0,0.5833333333333334,,,
